drug,state,total_claims,total_patients,total_days_supply,total_drug_cost,provider_count
Valproic Acid,OK,854,0.0,26921,43240.08,47
Valproic Acid,OR,361,0.0,12878,14807.09,28
Valproic Acid,PA,2461,11.0,53223,82449.49,125
Valproic Acid,PR,410,13.0,11784,16548.71,18
Valproic Acid,RI,223,0.0,6682,10643.439999999999,15
Valproic Acid,SC,837,0.0,18572,34098.55,44
Valproic Acid,SD,363,0.0,11285,13945.66,25
Valproic Acid,TN,1393,18.0,27018,36262.84,62
Valproic Acid,TX,3551,242.0,117041,141099.49,172
Valproic Acid,UT,269,0.0,7227,9144.19,17
Valproic Acid,VA,1180,0.0,34195,48511.71,71
Valproic Acid,VI,13,0.0,390,659.1,1
Valproic Acid,VT,47,0.0,1318,1312.51,3
Valproic Acid,WA,916,0.0,25779,45453.08,62
Valproic Acid,WI,667,0.0,19236,34258.68,45
Valproic Acid,WV,390,0.0,7502,12305.11,19
Valproic Acid,WY,50,0.0,1288,1674.81,4
Zonisamide,AK,610,25.0,16568,12776.73,16
Zonisamide,AL,6822,1001.0,329751,553293.48,177
Zonisamide,AR,5505,578.0,224410,186150.42,147
Zonisamide,AZ,7831,1109.0,421014,725846.86,221
Zonisamide,CA,15912,1442.0,783944,1018113.79,588
Zonisamide,CO,4113,377.0,227575,270602.51,158
Zonisamide,CT,2758,266.0,132542,185608.6,95
Zonisamide,DC,299,23.0,15774,10132.41,15
Zonisamide,DE,1157,155.0,54769,43786.44,25
Zonisamide,FL,16691,2137.0,847776,871370.95,558
Zonisamide,GA,6108,540.0,262576,265302.18,189
Zonisamide,GU,12,0.0,360,359.76,1
Zonisamide,HI,374,16.0,21722,21718.559999999998,18
Zonisamide,IA,3290,161.0,121407,235801.07,111
Zonisamide,ID,3660,483.0,170732,589469.1900000001,63
Zonisamide,IL,9657,824.0,430424,473017.16000000003,332
Zonisamide,IN,8008,945.0,385925,465782.04,247
Zonisamide,KS,4006,442.0,190134,359728.05,99
Zonisamide,KY,4921,621.0,231632,182694.93,152
Zonisamide,LA,5541,506.0,255739,295498.02,195
Zonisamide,MA,9480,932.0,445213,775220.7999999999,306
Zonisamide,MD,3144,219.0,158338,123013.33,129
Zonisamide,ME,1228,182.0,61106,122790.09000000001,34
Zonisamide,MI,10866,1245.0,528154,656662.54,350
Zonisamide,MN,6880,550.0,277072,596745.63,166
Zonisamide,MO,11204,1214.0,479169,436491.94,293
Zonisamide,MS,4082,600.0,179476,216960.16999999998,106
Zonisamide,MT,1620,101.0,61812,113153.37,39
Zonisamide,NC,11886,1383.0,586394,661420.72,375
Zonisamide,ND,1459,166.0,63568,39324.18,33
Zonisamide,NE,2542,184.0,90395,283285.37,80
Zonisamide,NH,1855,266.0,82958,182097.6,51
Zonisamide,NJ,5610,452.0,253030,816755.27,180
Zonisamide,NM,1384,143.0,62238,107029.8,39
Zonisamide,NV,2215,405.0,114745,102747.34,59
Zonisamide,NY,17507,1654.0,739844,1470738.84,530
Zonisamide,OH,18721,2513.0,840976,1258465.46,520
Zonisamide,OK,1752,96.0,86891,149361.38,72
Zonisamide,OR,4412,579.0,215718,198217.9,115
Zonisamide,PA,19573,1849.0,839663,1545284.66,577
Zonisamide,PR,780,79.0,29293,25486.89,16
Zonisamide,RI,2070,196.0,94219,146585.22,52
Zonisamide,SC,5556,791.0,278509,223874.51,149
Zonisamide,SD,838,27.0,27163,159673.87,34
Zonisamide,TN,8515,957.0,376581,385162.71,254
Zonisamide,TX,24075,3695.0,1241409,1606400.73,637
Zonisamide,UT,2607,273.0,120193,142053.65,87
Zonisamide,VA,6259,665.0,310853,302879.97,204
Zonisamide,VT,798,73.0,35105,23109.89,24
Zonisamide,WA,8782,918.0,392068,766878.86,234
Zonisamide,WI,9583,1117.0,434141,540184.67,260
Zonisamide,WV,2731,400.0,117857,91436.82,76
Zonisamide,WY,552,21.0,18880,18604.27,15
